1,39,Checking,7616.7,Inactive
2,47,Savings,6720.83,Locked
3,55,Savings,4200.91,Locked
4,84,Checking,5438.25,Inactive
5,2,Savings,7164.55,Active
6,68,Savings,6388.42,Locked
7,83,Checking,2135.07,Inactive
8,32,Savings,905.28,Active
9,20,Credit,4980.31,Locked
10,15,Checking,3481.88,Locked
11,30,Savings,7348.74,Inactive
12,50,Credit,4543.09,Inactive
13,62,Savings,4583.87,Inactive
14,38,Credit,7252.75,Inactive
15,60,Savings,3761.14,Locked
16,23,Credit,5079.9,Active
17,97,Checking,266.37,Active
18,68,Checking,9584.77,Inactive
19,88,Savings,503.89,Inactive
20,47,Checking,1312.05,Inactive
21,73,Checking,4799.1,Locked
22,11,Credit,8484.84,Inactive
23,11,Checking,3220.94,Inactive
24,45,Savings,3888.61,Active
25,63,Checking,6999.97,Inactive
26,31,Savings,9300.02,Locked
27,14,Checking,5688.41,Locked
28,45,Credit,9819.11,Locked
29,12,Checking,5458.59,Locked
30,91,Savings,808.27,Inactive
31,64,Checking,7041.34,Active
32,58,Checking,3481.97,Locked
33,33,Savings,7902.49,Active
34,92,Checking,5382.83,Inactive
35,50,Credit,6114.03,Inactive
36,70,Credit,6272.47,Inactive
37,14,Checking,3419.49,Locked
38,18,Savings,3921.75,Locked
39,87,Credit,5107.61,Inactive
40,46,Checking,2827.16,Active
41,61,Savings,4963.83,Inactive
42,11,Credit,5370.73,Inactive
43,9,Savings,7007.71,Inactive
44,12,Savings,6659.7,Locked
45,69,Credit,5242.25,Inactive
46,81,Checking,3570.62,Locked
47,82,Credit,8499.43,Locked
48,64,Checking,9227.05,Inactive
49,16,Checking,799.86,Inactive
50,38,Savings,3753.08,Active
51,71,Checking,3673.61,Locked
52,54,Checking,1878.32,Active
53,42,Credit,4037.81,Locked
54,89,Checking,6020.03,Active
55,53,Checking,5853.74,Locked
56,39,Checking,5034.08,Active
57,28,Credit,4023.84,Active
58,82,Credit,9761.49,Inactive
59,34,Checking,5065.33,Inactive
60,35,Checking,4880.07,Inactive
61,34,Savings,7153.5,Active
62,80,Checking,2942.33,Inactive
63,62,Savings,8201.1,Inactive
64,39,Credit,4157.89,Active
65,82,Savings,8914.24,Locked
66,64,Credit,2680.6,Locked
67,97,Savings,8926.31,Active
68,52,Checking,9746.6,Active
69,51,Checking,6659.21,Active
70,66,Checking,3841.98,Inactive
71,9,Credit,6637.26,Locked
72,46,Credit,4939.99,Locked
73,59,Credit,3527.18,Locked
74,10,Checking,1487.84,Locked
75,51,Credit,5712.7,Locked
76,22,Savings,5633.41,Active
77,10,Savings,5657.25,Inactive
78,43,Checking,3119.9,Active
79,73,Checking,3590.51,Locked
80,70,Savings,9793.87,Inactive
81,54,Savings,2561.32,Locked
82,37,Credit,7246.06,Locked
83,92,Savings,3991.07,Active
84,78,Credit,8008.2,Inactive
85,88,Savings,2653.71,Inactive
86,85,Savings,9245.65,Locked
87,32,Checking,902.16,Inactive
88,44,Savings,7252.99,Active
89,97,Savings,5424.41,Active
90,79,Checking,703.31,Active
91,32,Credit,7941.7,Active
92,22,Savings,874.82,Locked
93,50,Savings,8052.85,Inactive
94,56,Savings,9683.37,Active
95,67,Checking,1347.89,Active
96,76,Credit,8881.51,Active
97,85,Checking,3212.49,Inactive
98,98,Savings,782.56,Inactive
99,44,Checking,5236.53,Active
100,98,Savings,7689.77,Locked
101,1,Credit,8920.55,Inactive
102,4,Credit,8396.79,Inactive
103,51,Credit,4334.67,Active
104,3,Savings,9814.69,Active
105,89,Savings,1962.11,Locked
106,37,Checking,1305.06,Inactive
107,33,Savings,2078.93,Inactive
108,48,Credit,513.98,Inactive
109,81,Savings,7626.97,Locked
110,49,Credit,1543.09,Active
111,25,Savings,7352.0,Inactive
112,37,Savings,1711.59,Locked
113,23,Savings,7567.09,Locked
114,43,Checking,8574.09,Locked
115,3,Checking,4611.17,Active
116,12,Checking,9155.45,Inactive
117,90,Savings,7841.79,Active
118,12,Checking,8741.21,Active
119,39,Checking,1448.47,Active
120,55,Savings,7846.29,Locked
121,65,Credit,4279.64,Locked
122,80,Checking,586.21,Locked
123,73,Savings,8687.76,Locked
124,57,Checking,5462.94,Inactive
125,50,Checking,1531.96,Active
126,15,Credit,2193.5,Locked
127,53,Credit,2349.01,Locked
128,5,Checking,5460.67,Active
129,54,Savings,3233.8,Inactive
130,22,Checking,1947.49,Active
