1,71,1937,Failed Transfer,Open,Operations
2,15,1885,Account Lockout,Pending,Fraud Team
3,4,956,Fee Refund,Open,Customer Support
4,18,1866,Card Dispute,Pending,Customer Support
5,82,581,Failed Transfer,Resolved,Account Services
6,62,869,Failed Transfer,Open,Fraud Team
7,14,18,Fraud Investigation,Closed,Customer Support
8,25,104,Failed Transfer,Escalated,Operations
9,21,1031,Failed Transfer,Pending,Fraud Team
10,68,1511,Fraud Investigation,Open,Account Services
11,52,182,Failed Transfer,Resolved,Customer Support
12,83,1549,Fee Refund,Closed,Operations
13,91,365,Fee Refund,Pending,Operations
14,25,1577,Account Lockout,Pending,Operations
15,1,1544,Fraud Investigation,Resolved,Operations
16,69,369,Failed Transfer,Closed,Fraud Team
17,73,733,Card Dispute,Escalated,Customer Support
18,19,5,Fraud Investigation,Closed,Customer Support
19,31,1471,Fee Refund,Resolved,Account Services
20,64,1028,Failed Transfer,Pending,Customer Support
21,3,889,Card Dispute,Closed,Customer Support
22,12,418,Failed Transfer,Open,Fraud Team
23,78,1815,Fraud Investigation,Open,Operations
24,25,1804,Account Lockout,Pending,Fraud Team
25,91,332,Account Lockout,Pending,Account Services
26,15,505,Fee Refund,Closed,Operations
27,56,629,Fraud Investigation,Closed,Operations
28,34,1934,Account Lockout,Pending,Operations
29,43,88,Fee Refund,Escalated,Fraud Team
30,72,1208,Fraud Investigation,Resolved,Fraud Team
31,10,1557,Card Dispute,Closed,Operations
32,79,1525,Card Dispute,Pending,Operations
33,32,174,Failed Transfer,Closed,Fraud Team
34,55,380,Card Dispute,Open,Account Services
35,81,185,Card Dispute,Open,Fraud Team
36,79,1660,Account Lockout,Escalated,Customer Support
37,61,345,Fraud Investigation,Closed,Fraud Team
38,72,1776,Fraud Investigation,Pending,Account Services
39,5,26,Fee Refund,Pending,Account Services
40,70,1975,Fraud Investigation,Pending,Customer Support
41,58,27,Failed Transfer,Open,Operations
42,97,269,Account Lockout,Open,Account Services
43,47,1689,Account Lockout,Resolved,Operations
44,76,630,Card Dispute,Escalated,Customer Support
